fifo,scene,split,frames,target_point_recall,matched_cluster_precision,matched_cluster_f1,target_detection_rate,fragmented_frame_rate,runtime_mean_ms,runtime_p95_ms,selection_score
2,parking_approach,development,376,0.8776457482361678,0.9214424951267056,0.899011030810194,0.9946808510638298,0.17819148936170212,7.376637882978724,10.03976975,0.9021586817842412
2,parking_approach,held_out,300,0.9383264933880529,0.874243228890069,0.9051520316709737,1.0,0.05333333333333334,7.584285826666667,10.295012,0.9204969760892303
2,road_departure,development,188,0.6573670444638187,0.9285714285714286,0.7697805002552323,0.8563829787234043,0.0851063829787234,4.1744041276595745,5.173060700000001,0.781250719923339
2,road_departure,held_out,149,0.6382783882783882,0.9587345254470426,0.766355140186916,0.8187919463087249,0.0738255033557047,4.1726924765100675,5.631316399999999,0.7704127143911936
5,parking_approach,development,376,0.8922205718529521,0.9162059103908484,0.9040541811682815,1.0,0.17553191489361702,10.877372481382979,16.2410065,0.9061364953942962
5,parking_approach,held_out,300,0.9426584587323301,0.8723494039455639,0.9061421291984001,1.0,0.04666666666666667,11.816216343333334,16.7905539,0.9202134436948001
5,road_departure,development,188,0.7096774193548387,0.928164196123147,0.8043478260869565,0.9574468085106383,0.39893617021276595,5.372089563829788,7.210996700000001,0.8005801188460685
5,road_departure,held_out,149,0.6858974358974359,0.9627249357326478,0.8010695187165776,0.9194630872483222,0.2550335570469799,5.28200344295302,7.316613999999999,0.8030517537676346
7,parking_approach,development,376,0.8951912365391756,0.9146353030446742,0.904808820079756,1.0,0.1702127659574468,13.13802717819149,20.54324125,0.9063301275927957
7,parking_approach,held_out,300,0.9428864569083447,0.872192344194875,0.9061626951520131,1.0,0.05,14.425642459999999,21.7035723,0.9188517643800098
7,road_departure,development,188,0.7445510026155188,0.9262472885032538,0.8255195746737554,0.9680851063829787,0.4148936170212766,5.489365361702128,7.387778350000001,0.8174758497542526
7,road_departure,held_out,149,0.7133699633699634,0.9617283950617284,0.8191377497371188,0.9530201342281879,0.3087248322147651,5.377658489932886,7.851372799999998,0.8195847992424364
